"","char.name","char.stat","char.value"
"901","Ivan Cheveski","First appearance","14th December 1960"
"902","Ivan Cheveski","Last appearance","27th December 1967"
"903","Ivan Cheveski","Duration","1960-1961, 1962-1963, 1966, 1967"
"904","Ivan Cheveski","Number of appearances","76"
"905","Ivan Cheveski","Played by","Ernst Walder"
"906","Linda Cheveski","Occupation","Factory worker"
"907","Linda Cheveski","Born","8th January 1940"
"908","Linda Cheveski","Birthplace","Rovers Return Inn,Weatherfield"
"909","Linda Cheveski","Residence","Toronto, Canada"
"910","Linda Cheveski","Father","Arnold Tanner"
"911","Linda Cheveski","Mother","Elsie Tanner"
"912","Linda Cheveski","Sibling(s)","Dennis Tanner"
"913","Linda Cheveski","Spouse(s)","Ivan Cheveski (1958)"
"914","Linda Cheveski","Children","Paul Cheveski (1961) Martin Cheveski (1964)"
"915","Linda Cheveski","First appearance","9th December 1960"
"916","Linda Cheveski","Last appearance","20th June 1984"
"917","Linda Cheveski","Duration","1960-1961, 1962-1963, 1966, 1967, 1968, 1984"
"918","Linda Cheveski","Number of appearances","107"
"919","Linda Cheveski","Played by","Anne Cunningham"
"920","Martin Cheveski","Born","1964"
"921","Martin Cheveski","Birthplace","Canada"
"922","Martin Cheveski","Residence","Birmingham"
"923","Martin Cheveski","Father","Ivan Cheveski"
"924","Martin Cheveski","Mother","Linda Cheveski"
"925","Martin Cheveski","Sibling(s)","Paul Cheveski"
"926","Martin Cheveski","First appearance","16th June 1980"
"927","Martin Cheveski","Last appearance","31st December 1980"
"928","Martin Cheveski","Number of appearances","34"
"929","Martin Cheveski","Played by","Jonathan Caplan"
"930","Josie Clarke","Occupation","Doctor's receptionist"
"931","Josie Clarke","Sibling(s)","a sister"
"932","Josie Clarke","Spouse(s)","a husband"
"933","Josie Clarke","Children","a daughter"
"934","Josie Clarke","First appearance","16th January 1995"
"935","Josie Clarke","Last appearance","16th August 1996"
"936","Josie Clarke","Duration","1995-1996"
"937","Josie Clarke","Number of appearances","101"
"938","Josie Clarke","Played by","Ellie Haddington"
"939","Andrea Clayton","Born","3rd August 1967"
"940","Andrea Clayton","Father","Harry Clayton"
"941","Andrea Clayton","Mother","Connie Clayton"
"942","Andrea Clayton","Sibling(s)","Sue Clayton"
"943","Andrea Clayton","Children","Paul Clayton (1986)"
"944","Andrea Clayton","First appearance","30th January 1985"
"945","Andrea Clayton","Last appearance","7th November 2001"
"946","Andrea Clayton","Duration","1985, 2000, 2001"
"947","Andrea Clayton","Number of appearances","41"
"948","Andrea Clayton","Played by","Caroline O'Neill"
"949","Connie Clayton","Occupation","Dressmaker"
"950","Connie Clayton","Spouse(s)","Harry Clayton"
"951","Connie Clayton","Children","Andrea Clayton (1967) Sue Clayton"
"952","Connie Clayton","First appearance","28th January 1985"
"953","Connie Clayton","Last appearance","10th December 2000"
"954","Connie Clayton","Duration","1985, 2000"
"955","Connie Clayton","Number of appearances","41"
"956","Connie Clayton","Played by","Susan Brown (1985) Irene Skillington (2000)"
"957","Harry Clayton","Occupation","Milkman"
"958","Harry Clayton","Spouse(s)","Connie Clayton"
"959","Harry Clayton","Children","Andrea Clayton (1967) Sue Clayton"
"960","Harry Clayton","First appearance","28th January 1985"
"961","Harry Clayton","Last appearance","4th September 1985"
"962","Harry Clayton","Duration","1985"
"963","Harry Clayton","Number of appearances","35"
"964","Harry Clayton","Played by","Johnny Leeze"
"965","Paul Clayton","Occupation","Chef"
"966","Paul Clayton","Born","16th February 1986"
"967","Paul Clayton","Father","Terry Duckworth"
"968","Paul Clayton","Mother","Andrea Clayton"
"969","Paul Clayton","Sibling(s)","Tommy Duckworth (half-brother) Brad Armstrong (half-brother)"
"970","Paul Clayton","First appearance","29th November 2000"
"971","Paul Clayton","Last appearance","25th May 2008"
"972","Paul Clayton","Duration","2000, 2001, 2007-2008"
"973","Paul Clayton","Number of appearances","113"
"974","Paul Clayton","Played by","Lee Booth (2000, 2001) Tom Hudson (2007-2008)"
"975","Ronnie Clayton","Occupation","Taxi driver"
"976","Ronnie Clayton","Born","30th June 1975"
"977","Ronnie Clayton","Spouse(s)","Jimmy Clayton"
"978","Ronnie Clayton","First appearance","3rd October 2005"
"979","Ronnie Clayton","Last appearance","11th June 2006"
"980","Ronnie Clayton","Duration","2005-2006"
"981","Ronnie Clayton","Number of appearances","56"
"982","Ronnie Clayton","Played by","Emma Stansfield"
"983","Sue Clayton","Occupation","Shop assistant"
"984","Sue Clayton","Father","Harry Clayton"
"985","Sue Clayton","Mother","Connie Clayton"
"986","Sue Clayton","Sibling(s)","Andrea Clayton"
"987","Sue Clayton","First appearance","30th January 1985"
"988","Sue Clayton","Last appearance","28th August 1985"
"989","Sue Clayton","Duration","1985"
"990","Sue Clayton","Number of appearances","27"
"991","Sue Clayton","Played by","Jane Hazlegrove"
"992","Gordon Clegg","Occupation","Accountant"
"993","Gordon Clegg","Born","20th May 1950"
"994","Gordon Clegg","Residence","Wimbledon"
"995","Gordon Clegg","Father","Ted FarrellLes Clegg (adoptive)"
"996","Gordon Clegg","Mother","Betty WilliamsMaggie Cooke (adoptive)"
"997","Gordon Clegg","Sibling(s)","a half-sister"
"998","Gordon Clegg","Spouse(s)","Caroline Wilson (1982)"
"999","Gordon Clegg","Children","Peter Clegg (1985)"
"1000","Gordon Clegg","First appearance","15th April 1968"
"1001","Gordon Clegg","Last appearance","20th April 2012"
"1002","Gordon Clegg","Duration","1968-1969, 1974-1975, 1976, 1982, 1995, 2002, 2004, 2012"
"1003","Gordon Clegg","Number of appearances","106"
"1004","Gordon Clegg","Played by","Bill Kenwright (1968-1995, 2012)Geoffrey Leesley (2002-2004)"
"1005","Ida Clough","Occupation","Machinist"
"1006","Ida Clough","Born","15th November 1937"
"1007","Ida Clough","Children","Muriel Clough Bernard Clough"
"1008","Ida Clough","First appearance","3rd April 1978"
"1009","Ida Clough","Last appearance","19th August 1998"
"1010","Ida Clough","Duration","1978-1988, 1995, 1996-1998"
"1011","Ida Clough","Number of appearances","255"
"1012","Ida Clough","Played by","Helene Palmer"
"1013","Claudia Colby","Occupation","Owner of Perm Suspect "
"1014","Claudia Colby","Born","15th April"
"1015","Claudia Colby","Residence","Stillwaters retirement complex"
"1016","Claudia Colby","First appearance","18th December 2009"
"1017","Claudia Colby","Last appearance","15th August 2022"
"1018","Claudia Colby","Duration","2009, 2010-2011,2018-2020, 2021, 2022"
"1019","Claudia Colby","Number of appearances","149"
"1020","Claudia Colby","Played by","Rula Lenska"
"1021","Norris Cole","Occupation","Newsagent (retired)"
"1022","Norris Cole","Born","5th March 1940"
"1023","Norris Cole","Died","15th September 2021"
"1024","Norris Cole","Mother","Eunice Cole"
"1025","Norris Cole","Sibling(s)","Ramsay Clegg (half-brother)"
"1026","Norris Cole","Spouse(s)","Myrtle Hargreaves Angela Hawthorne (1995) Mary Taylor (2017)"
"1027","Norris Cole","First appearance","11th March 1994"
"1028","Norris Cole","Last appearance","24th June 2020"
"1029","Norris Cole","Duration","1994-1997, 1999-2017, 2019-2020"
"1030","Norris Cole","Number of appearances","1654"
"1031","Norris Cole","Played by","Malcolm Hebden"
"1032","Chris Collins","Occupation","Mechanic"
"1033","Chris Collins","Born","c.1976"
"1034","Chris Collins","Residence","Coventry"
"1035","Chris Collins","First appearance","3rd March 1997"
"1036","Chris Collins","Last appearance","29th March 1998"
"1037","Chris Collins","Duration","1997-1998"
"1038","Chris Collins","Number of appearances","137"
"1039","Chris Collins","Played by","Matthew Marsden"
"1040","Diggory Compton","Occupation","Baker"
"1041","Diggory Compton","Residence","Chorlton"
"1042","Diggory Compton","Sibling(s)","Pam Hobsworth"
"1043","Diggory Compton","Children","Molly Dobbs (1984)"
"1044","Diggory Compton","First appearance","2nd February 2005"
"1045","Diggory Compton","Last appearance","17th July 2006"
"1046","Diggory Compton","Duration","2005-2006"
"1047","Diggory Compton","Number of appearances","50"
"1048","Diggory Compton","Played by","Eric Potts"
"1049","Aidan Connor","Born","9th April 1983"
"1050","Aidan Connor","Died","7th May 2018"
"1051","Aidan Connor","Father","Johnny Connor"
"1052","Aidan Connor","Mother","Louisa Connor"
"1053","Aidan Connor","Sibling(s)","Carla Connor (half-sister) Kate Connor"
"1054","Aidan Connor","Children","Susie Price (2018)"
"1055","Aidan Connor","First appearance","21st August 2015"
"1056","Aidan Connor","Last appearance","7th May 2018 (on-screen) 15th August 2018 (footage)"
"1057","Aidan Connor","Duration","2015-2018"
"1058","Aidan Connor","Number of appearances","370"
"1059","Aidan Connor","Played by","Shayne Ward"
"1060","Jenny Connor","Occupation","Landlady of the Rovers Return Inn"
"1061","Jenny Connor","Born","4th March 1971"
"1062","Jenny Connor","Residence","Rovers Return Inn"
"1063","Jenny Connor","Father","Alan Bradley"
"1064","Jenny Connor","Mother","Pat Bradley"
"1065","Jenny Connor","Spouse(s)","Mr Midgeley Johnny Connor (2017)"
"1066","Jenny Connor","Children","Tom Midgeley (2008)"
"1067","Jenny Connor","First appearance","6th January 1986"
"1068","Jenny Connor","Duration","1986-1991, 1993, 2015, 2016 to present"
"1069","Jenny Connor","Number of appearances","1073 (as of Episode 10823/4)"
"1070","Jenny Connor","Played by","Sally Ann Matthews"
"1071","Johnny Connor","Occupation","Publican"
"1072","Johnny Connor","Born","30th July 1953"
"1073","Johnny Connor","Died","18th October 2021"
"1074","Johnny Connor","Father","James Connor"
"1075","Johnny Connor","Spouse(s)","Louisa Connor Jenny Bradley (2017)"
"1076","Johnny Connor","Children","Carla Donovan (1975) Aidan Connor (1983) Kate Connor (1989)"
"1077","Johnny Connor","First appearance","5th October 2015"
"1078","Johnny Connor","Last appearance","22nd October 2021"
"1079","Johnny Connor","Duration","2015-2021"
"1080","Johnny Connor","Number of appearances","587"
"1081","Johnny Connor","Played by","Richard Hawley"
"1082","Kate Connor","Born","16th November 1989"
"1083","Kate Connor","Father","Johnny Connor"
"1084","Kate Connor","Mother","Louisa Connor"
"1085","Kate Connor","Sibling(s)","Carla Connor (half-sister)Aidan Connor"
"1086","Kate Connor","First appearance","5th October 2015"
"1087","Kate Connor","Last appearance","13th September 2019"
"1088","Kate Connor","Duration","2015-2019"
"1089","Kate Connor","Number of appearances","447"
"1090","Kate Connor","Played by","Faye Brookes"
"1091","Liam Connor (son of Maria Connor)","Born","3rd July 2009"
"1092","Liam Connor (son of Maria Connor)","Birthplace","Ainsdale Beach"
"1093","Liam Connor (son of Maria Connor)","Residence","5 Victoria Court"
"1094","Liam Connor (son of Maria Connor)","Father","Liam Connor"
"1095","Liam Connor (son of Maria Connor)","Mother","Maria Connor"
"1096","Liam Connor (son of Maria Connor)","Sibling(s)","Paul Connor"
"1097","Liam Connor (son of Maria Connor)","First appearance","3rd July 2009"
"1098","Liam Connor (son of Maria Connor)","Duration","2009 to present"
"1099","Liam Connor (son of Maria Connor)","Number of appearances","232 (as of Episode 10823/4)"
"1100","Liam Connor (son of Maria Connor)","Played by","Imogen Moore (2009) Logan Pearson (2009) Ollie & Elliott Barnett (2010-2012) Charlie Wrenshall (2012 to present)"
"1101","Liam Connor","Occupation","Businessman"
"1102","Liam Connor","Born","25th February 1974"
"1103","Liam Connor","Birthplace","Ireland"
"1104","Liam Connor","Died","16th October 2008"
"1105","Liam Connor","Father","Barry Connor"
"1106","Liam Connor","Mother","Helen Connor"
"1107","Liam Connor","Sibling(s)","Paul Connor Michelle Connor"
"1108","Liam Connor","Spouse(s)","Maria Sutherland (2008)"
"1109","Liam Connor","Children","Paul Connor (2008) Liam Connor (2009)"
"1110","Liam Connor","First appearance","30th August 2006"
"1111","Liam Connor","Last appearance","17th October 2008"
"1112","Liam Connor","Duration","2006-2008"
"1113","Liam Connor","Number of appearances","332"
"1114","Liam Connor","Played by","Rob James-Collier"
"1115","Maria Connor","Occupation","Hairdresser  Councillor"
"1116","Maria Connor","Born","5th May 1983"
"1117","Maria Connor","Residence","5 Victoria Court"
"1118","Maria Connor","Father","Eric Sutherland"
"1119","Maria Connor","Mother","Dot Sutherland"
"1120","Maria Connor","Sibling(s)","Kirk Sutherland"
"1121","Maria Connor","Spouse(s)","Liam Connor (2008) Pablo Duarte (2016) Gary Windass (2020)"
"1122","Maria Connor","Children","Paul Connor (2008)Liam Connor (2009)"
"1123","Maria Connor","First appearance","19th May 2000"
"1124","Maria Connor","Duration","2000 to present"
"1125","Maria Connor","Number of appearances","1964 (as of Episode 10823/4)"
"1126","Maria Connor","Played by","Samia Longchambon"
"1127","Michelle Connor","Occupation","Restauranteur  Wedding planner"
"1128","Michelle Connor","Born","21st April 1976"
"1129","Michelle Connor","Residence","Dublin"
"1130","Michelle Connor","Father","Barry Connor"
"1131","Michelle Connor","Mother","Helen Connor"
"1132","Michelle Connor","Sibling(s)","Paul Connor Liam Connor"
"1133","Michelle Connor","Spouse(s)","Dean Steve McDonald (2015)"
"1134","Michelle Connor","Children","Ali Neeson (1992) (biological) Ryan Connor (1992) (legal son) Ruairi McDonald (2017)"
"1135","Michelle Connor","First appearance","3rd April 2006"
"1136","Michelle Connor","Last appearance","27th December 2019"
"1137","Michelle Connor","Duration","2006-2019"
"1138","Michelle Connor","Number of appearances","1665"
"1139","Michelle Connor","Played by","Kym Marsh"
"1140","Paul Connor","Occupation","Businessman"
"1141","Paul Connor","Born","1969"
"1142","Paul Connor","Died","6th June 2007"
"1143","Paul Connor","Father","Barry Connor"
"1144","Paul Connor","Mother","Helen Connor"
"1145","Paul Connor","Sibling(s)","Liam Connor Michelle Connor"
"1146","Paul Connor","Spouse(s)","Carla Donovan (1999)"
"1147","Paul Connor","First appearance","6th September 2006"
"1148","Paul Connor","Last appearance","6th June 2007"
"1149","Paul Connor","Duration","2006-2007"
"1150","Paul Connor","Number of appearances","103"
"1151","Paul Connor","Played by","Sean Gallagher"
"1152","Ryan Connor","Occupation","DJ  Barman  Waiter"
"1153","Ryan Connor","Born","14th January 1992"
"1154","Ryan Connor","Birthplace","Weatherfield"
"1155","Ryan Connor","Residence","Chariot Square Hotel"
"1156","Ryan Connor","Father","Nick Neeson (biological) Dean (legal father)"
"1157","Ryan Connor","Mother","Wendy Neeson (biological) Michelle Connor (legal mother)"
"1158","Ryan Connor","Sibling(s)","Ruairi McDonald (legal half-brother)"
"1159","Ryan Connor","First appearance","30th August 2006"
"1160","Ryan Connor","Duration","2006-2010, 2012-2013, 2018 to present"
"1161","Ryan Connor","Number of appearances","711 (as of Episode 10823/4)"
"1162","Ryan Connor","Played by","Ben Thompson (2006-2010)Sol Heras (2012-2013)Ryan Prescott (2018 to present)"
"1163","Maggie Cooke","Occupation","Shopkeeper"
"1164","Maggie Cooke","Born","12th June 1924"
"1165","Maggie Cooke","Birthplace","6 Tile Street,Weatherfield"
"1166","Maggie Cooke","Residence","Zaire (now the Democratic Republic of the Congo)"
"1167","Maggie Cooke","Father","Harold Preston"
"1168","Maggie Cooke","Mother","Margaret Preston"
"1169","Maggie Cooke","Sibling(s)","Betty Williams"
"1170","Maggie Cooke","Spouse(s)","Les Clegg (1947) Ron Cooke (1974)"
"1171","Maggie Cooke","Children","Gordon Clegg (adoptive, 1950)"
"1172","Maggie Cooke","First appearance","1st April 1968"
"1173","Maggie Cooke","Last appearance","13th January 1975"
"1174","Maggie Cooke","Duration","1968-1975"
"1175","Maggie Cooke","Number of appearances","414"
"1176","Maggie Cooke","Played by","Irene Sutcliffe"
"1177","Nathan Cooper","Occupation","Mechanic"
"1178","Nathan Cooper","First appearance","1st April 2005"
"1179","Nathan Cooper","Last appearance","19th July 2006"
"1180","Nathan Cooper","Duration","2005-2006"
"1181","Nathan Cooper","Number of appearances","99"
"1182","Nathan Cooper","Played by","Ray Fearon"
"1183","Kelly Crabtree","Occupation","Factory machinist"
"1184","Kelly Crabtree","Born","24th April 1979"
"1185","Kelly Crabtree","Sibling(s)","A brother  A sister"
"1186","Kelly Crabtree","First appearance","6th September 2004"
"1187","Kelly Crabtree","Last appearance","19th March 2010"
"1188","Kelly Crabtree","Duration","2004-2010"
"1189","Kelly Crabtree","Number of appearances","514"
"1190","Kelly Crabtree","Played by","Tupele Dorgu"
"1191","Aidan Critchley","Born","c.1987"
"1192","Aidan Critchley","Father","Bob Critchley"
"1193","Aidan Critchley","First appearance","12th April 2002"
"1194","Aidan Critchley","Last appearance","17th March 2003"
"1195","Aidan Critchley","Duration","2002-2003"
"1196","Aidan Critchley","Number of appearances","70"
"1197","Aidan Critchley","Played by","Dean Ashton"
"1198","Hayley Cropper","Occupation","Factory supervisor/Café assistant"
"1199","Hayley Cropper","Born","7th May 1966"
"1200","Hayley Cropper","Died","20th January 2014"
"1201","Hayley Cropper","Father","Harry Patterson"
"1202","Hayley Cropper","Spouse(s)","Roy Cropper (2010)"
"1203","Hayley Cropper","Children","Christian Gatley"
"1204","Hayley Cropper","First appearance","26th January 1998"
"1205","Hayley Cropper","Last appearance","22nd January 2014"
"1206","Hayley Cropper","Duration","1998-2007, 2008-2014"
"1207","Hayley Cropper","Number of appearances","1447"
"1208","Hayley Cropper","Played by","Julie Hesmondhalgh"
"1209","Roy Cropper","Occupation","Proprietor of Roy's Rolls"
"1210","Roy Cropper","Born","21st September 1954"
"1211","Roy Cropper","Residence","16a Victoria Street"
"1212","Roy Cropper","Father","St. John Cropper"
"1213","Roy Cropper","Mother","Sylvia Goodwin"
"1214","Roy Cropper","Sibling(s)","Richard Lucas (half-brother) Isabelle Cropper (half-sister) Stephen Cropper (half-brother) Jonathan Cropper (half-brother)"
"1215","Roy Cropper","Spouse(s)","Tracy Barlow (2003) Hayley Cropper (2010)"
"1216","Roy Cropper","First appearance","19th July 1995"
"1217","Roy Cropper","Duration","1995 to present"
"1218","Roy Cropper","Number of appearances","2526 (as of Episode 10823/4)"
"1219","Roy Cropper","Played by","David Neilson"
"1220","Ray Crosby","Occupation","Hotelier"
"1221","Ray Crosby","Born","c.1968"
"1222","Ray Crosby","Children","A daughter"
"1223","Ray Crosby","First appearance","5th July 2019"
"1224","Ray Crosby","Last appearance","19th November 2021"
"1225","Ray Crosby","Duration","2019-2021"
"1226","Ray Crosby","Number of appearances","117"
"1227","Ray Crosby","Played by","Mark Frost"
"1228","Sheila Crossley","Occupation","Factory worker"
"1229","Sheila Crossley","Born","23rd April 1940"
"1230","Sheila Crossley","Birthplace","Manchester"
"1231","Sheila Crossley","Residence","Sheffield"
"1232","Sheila Crossley","Father","Mr Birtles"
"1233","Sheila Crossley","Mother","Mrs Birtles"
"1234","Sheila Crossley","Sibling(s)","Raymond Birtles"
"1235","Sheila Crossley","Spouse(s)","Neil Crossley (1966)"
"1236","Sheila Crossley","Children","Danny Crossley (1964)"
"1237","Sheila Crossley","First appearance","4th January 1961"
"1238","Sheila Crossley","Last appearance","2nd October 1974"
"1239","Sheila Crossley","Duration","1961, 1962-1963, 1966, 1969, 1974"
"1240","Sheila Crossley","Number of appearances","161"
"1241","Sheila Crossley","Played by","Eileen Mayers"
"1242","Wiki Dankowska","Occupation","Factory worker"
"1243","Wiki Dankowska","Residence","Poland"
"1244","Wiki Dankowska","Children","Jakub"
"1245","Wiki Dankowska","First appearance","2nd March 2007"
"1246","Wiki Dankowska","Last appearance","6th February 2009"
"1247","Wiki Dankowska","Duration","2007-2009"
"1248","Wiki Dankowska","Number of appearances","145"
"1249","Wiki Dankowska","Played by","Wanda Opalinska"
"1250","Gwen Davies","Occupation","Factory machinist"
"1251","Gwen Davies","Sibling(s)","Pam Davies"
"1252","Gwen Davies","Spouse(s)","Laurie Loveday"
"1253","Gwen Davies","Children","Jason Loveday"
"1254","Gwen Davies","First appearance","11th October 1999"
"1255","Gwen Davies","Last appearance","16th June 2000"
"1256","Gwen Davies","Duration","1999-2000"
"1257","Gwen Davies","Number of appearances","91"
"1258","Gwen Davies","Played by","Annie Hulley"
"1259","Trevor Dean","Occupation","Bin man  Dishwasher  Factory worker"
"1260","Trevor Dean","Residence","France"
"1261","Trevor Dean","First appearance","28th January 2010"
"1262","Trevor Dean","Last appearance","25th March 2011"
"1263","Trevor Dean","Duration","2010, 2011"
"1264","Trevor Dean","Number of appearances","63"
"1265","Trevor Dean","Played by","Steve Jackson"
"1266","Marcus Dent","Occupation","Midwife, formerly a sonographer"
"1267","Marcus Dent","Born","1977"
"1268","Marcus Dent","Birthplace","Stevenage"
"1269","Marcus Dent","Residence","London"
"1270","Marcus Dent","Father","Ron Dent"
"1271","Marcus Dent","Mother","Janet Dent"
"1272","Marcus Dent","First appearance","7th September 2007"
"1273","Marcus Dent","Last appearance","14th July 2014"
"1274","Marcus Dent","Duration","2007-2008, 2011-2014"
"1275","Marcus Dent","Number of appearances","318"
"1276","Marcus Dent","Played by","Charlie Condou"
"1277","Nita Desai","Occupation","Shop manager"
"1278","Nita Desai","Born","30th April 1975"
"1279","Nita Desai","Father","Ravi Desai"
"1280","Nita Desai","Sibling(s)","Vikram Desai"
"1281","Nita Desai","First appearance","8th January 1999"
"1282","Nita Desai","Last appearance","19th May 2000"
"1283","Nita Desai","Duration","1999-2000"
"1284","Nita Desai","Number of appearances","122"
"1285","Nita Desai","Played by","Rebecca Sarker"
"1286","Vikram Desai","Occupation","Shop assistant"
"1287","Vikram Desai","Born","20th February 1979"
"1288","Vikram Desai","Father","Ravi Desai"
"1289","Vikram Desai","Sibling(s)","Nita Desai"
"1290","Vikram Desai","First appearance","7th February 1999"
"1291","Vikram Desai","Last appearance","18th December 2002"
"1292","Vikram Desai","Duration","1999-2002"
"1293","Vikram Desai","Number of appearances","330"
"1294","Vikram Desai","Played by","Chris Bisson"
"1295","Jackie Dobbs","Born","24th August 1954"
"1296","Jackie Dobbs","Died","23rd July 2018"
"1297","Jackie Dobbs","Spouse(s)","Darren Dobbs"
"1298","Jackie Dobbs","First appearance","29th March 1998"
"1299","Jackie Dobbs","Last appearance","18th March 2010 (full appearance)5th September 2018(obscured on video tape recording)"
"1300","Jackie Dobbs","Duration","1998-1999, 2008, 2009, 2010"
"1301","Jackie Dobbs","Number of appearances","65"
"1302","Jackie Dobbs","Played by","Margi Clarke"
"1303","Molly Dobbs","Occupation","Shop assistant"
"1304","Molly Dobbs","Born","21st October 1984"
"1305","Molly Dobbs","Died","6th December 2010"
"1306","Molly Dobbs","Father","Diggory Compton"
"1307","Molly Dobbs","Spouse(s)","Tyrone Dobbs (2009)"
"1308","Molly Dobbs","Children","Jack Dobbs (2010)"
"1309","Molly Dobbs","First appearance","5th September 2005"
"1310","Molly Dobbs","Last appearance","9th December 2010"
"1311","Molly Dobbs","Duration","2005-2010"
"1312","Molly Dobbs","Number of appearances","473"
"1313","Molly Dobbs","Played by","Vicky Binns"
"1314","Ruby Dobbs","Born","9th September 2012"
"1315","Ruby Dobbs","Birthplace","Rovers Return Inn"
"1316","Ruby Dobbs","Residence","9 Coronation Street"
"1317","Ruby Dobbs","Father","Tyrone Dobbs"
"1318","Ruby Dobbs","Mother","Kirsty Soames"
"1319","Ruby Dobbs","First appearance","9th September 2012"
"1320","Ruby Dobbs","Duration","2012 to present"
"1321","Ruby Dobbs","Number of appearances","321 (as of Episode 10823/4)"
"1322","Ruby Dobbs","Played by","Grace Hanrahan (2012-2013)Macy Alabi (2012 to present)"
"1323","Tyrone Dobbs","Occupation","Co-owner of Websters' Auto Centre"
"1324","Tyrone Dobbs","Born","17th December 1982"
"1325","Tyrone Dobbs","Birthplace","Liverpool"
"1326","Tyrone Dobbs","Residence","9 Coronation Street"
"1327","Tyrone Dobbs","Mother","Cassandra Plummer"
"1328","Tyrone Dobbs","Spouse(s)","Molly Compton (2009) Fiz Stape (2022)"
"1329","Tyrone Dobbs","Children","Ruby Soames (2012)"
"1330","Tyrone Dobbs","First appearance","30th November 1998"
"1331","Tyrone Dobbs","Duration","1998 to present"
"1332","Tyrone Dobbs","Number of appearances","2419 (as of Episode 10823/4)"
"1333","Tyrone Dobbs","Played by","Alan Halsall"
"1334","Rob Donovan","Born","1979"
"1335","Rob Donovan","Residence","Prison in Humberside"
"1336","Rob Donovan","Mother","Sharon Donovan"
"1337","Rob Donovan","Sibling(s)","Carla Connor (half-sister)"
"1338","Rob Donovan","First appearance","9th July 2012"
"1339","Rob Donovan","Last appearance","8th May 2017"
"1340","Rob Donovan","Duration","2012-2014, 2015-2016, 2017"
"1341","Rob Donovan","Number of appearances","316"
"1342","Rob Donovan","Played by","Marc Baylis"
"1343","Jack Duckworth","Occupation","Barman"
"1344","Jack Duckworth","Born","7th November 1936"
"1345","Jack Duckworth","Birthplace","Manchester"
"1346","Jack Duckworth","Died","7th November 2010"
"1347","Jack Duckworth","Father","Harry Duckworth"
"1348","Jack Duckworth","Mother","Maggie Duckworth"
"1349","Jack Duckworth","Sibling(s)","Clifford Duckworth"
"1350","Jack Duckworth","Spouse(s)","Veronica Burton (1957)"
"1351","Jack Duckworth","Children","Terry Duckworth (1964)"
"1352","Jack Duckworth","First appearance","28th November 1979"
"1353","Jack Duckworth","Last appearance","8th November 2010"
"1354","Jack Duckworth","Duration","1979, 1981, 1982-2010"
"1355","Jack Duckworth","Number of appearances","2092"
"1356","Jack Duckworth","Played by","William Tarmey"
"1357","Lisa Duckworth","Born","16th November 1970"
"1358","Lisa Duckworth","Died","12th February 1993"
"1359","Lisa Duckworth","Father","Jeff Horton"
"1360","Lisa Duckworth","Mother","Doreen Horton"
"1361","Lisa Duckworth","Spouse(s)","Terry Duckworth (1992)"
"1362","Lisa Duckworth","Children","Tommy Duckworth (1992)"
"1363","Lisa Duckworth","First appearance","5th February 1992"
"1364","Lisa Duckworth","Last appearance","12th February 1993"
"1365","Lisa Duckworth","Duration","1992-1993"
"1366","Lisa Duckworth","Number of appearances","75"
"1367","Lisa Duckworth","Played by","Caroline Milmoe"
"1368","Terry Duckworth","Occupation","Businessman"
"1369","Terry Duckworth","Born","4th June 1964"
"1370","Terry Duckworth","Father","Jack Duckworth"
"1371","Terry Duckworth","Mother","Vera Duckworth"
"1372","Terry Duckworth","Spouse(s)","Lisa Horton (1992)"
"1373","Terry Duckworth","Children","Paul Clayton (1986) Tommy Duckworth (1992) Brad Armstrong (1997)"
"1374","Terry Duckworth","First appearance","1st August 1983"
"1375","Terry Duckworth","Last appearance","11th May 2012"
"1376","Terry Duckworth","Duration","1983-1987, 1988, 1992-1993, 1996, 1997, 1999, 2000, 2001-2002, 2008, 2012"
"1377","Terry Duckworth","Number of appearances","365"
"1378","Terry Duckworth","Played by","Nigel Pivaro"
"1379","Tommy Duckworth","Occupation","Mechanic"
"1380","Tommy Duckworth","Born","9th September 1992"
"1381","Tommy Duckworth","Birthplace","Weatherfield General, Weatherfield"
"1382","Tommy Duckworth","Residence","Canary Islands"
"1383","Tommy Duckworth","Father","Terry Duckworth"
"1384","Tommy Duckworth","Mother","Lisa Duckworth"
"1385","Tommy Duckworth","Sibling(s)","Paul Clayton (half-brother) Brad Armstrong (half-brother)"
"1386","Tommy Duckworth","First appearance","9th September 1992"
"1387","Tommy Duckworth","Last appearance","13th October 2013"
"1388","Tommy Duckworth","Duration","1992-1993, 1994, 1995, 1996, 1997, 2000, 2011-2013"
"1389","Tommy Duckworth","Number of appearances","445"
"1390","Tommy Duckworth","Played by","Darryl Edwards (1992-1997) Joseph Aston (2000) Chris Fountain (2011-2013)"
"1391","Vera Duckworth","Occupation","Waitress (retired)"
"1392","Vera Duckworth","Born","3rd September 1937"
"1393","Vera Duckworth","Birthplace","Manchester"
"1394","Vera Duckworth","Died","18th January 2008"
"1395","Vera Duckworth","Father","Joss Shackleton (unconfirmed)"
"1396","Vera Duckworth","Mother","Amy Burton"
"1397","Vera Duckworth","Spouse(s)","Jack Duckworth (1957)"
"1398","Vera Duckworth","Children","Terry Duckworth (1964)"
"1399","Vera Duckworth","First appearance","19th August 1974"
"1400","Vera Duckworth","Last appearance","18th January 2008 (real Vera)8th November 2010 (vision)"
